UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200
118134,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,34,R,0,R,34,R,0,R,0,R,26,R,76,Z,0,R,34,Z,0,Z,0,R,26,R,76
118143,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,18,R,0,R,18,R,0,R,0,R,12,R,67,Z,0,R,18,Z,0,Z,0,R,12,R,67
118161,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,39,R,0,R,39,R,2,R,5,R,34,R,87,Z,0,R,39,Z,0,Z,0,R,34,R,87
118189,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,15,R,0,R,15,R,13,R,87,R,13,R,87,Z,0,R,15,Z,0,Z,0,R,13,R,87
118198,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,370,R,0,R,370,R,261,R,71,R,261,R,71,Z,0,R,370,Z,0,Z,0,R,261,R,71
118259,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,324,R,0,R,324,Z,0,R,0,R,238,R,73,R,0,R,324,R,0,R,0,R,238,R,73
118277,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,382,R,2,R,380,Z,0,R,0,R,299,R,79,R,0,R,380,R,2,R,0,R,301,R,79
118286,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,747,R,3,R,744,Z,0,R,0,R,587,R,79,Z,0,R,744,R,8,Z,0,R,595,R,80
118347,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,274,R,0,R,274,R,30,R,11,R,82,R,30,R,0,R,274,R,21,R,32,R,103,R,38
118356,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,1780,R,4,R,1776,R,844,R,48,R,1083,R,61,R,0,R,1776,R,1,R,0,R,1084,R,61
118684,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,167,R,0,R,167,R,6,R,4,R,30,R,18,R,0,R,167,R,7,R,85,R,37,R,22
118693,R,161,R,0,R,161,R,42,R,26,R,58,R,36,Z,0,R,161,Z,0,Z,0,R,58,R,36,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
118718,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,1229,R,0,R,1229,R,50,R,4,R,190,R,15,R,0,R,1229,R,118,R,229,R,308,R,25
118772,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,192,R,0,R,192,R,8,R,4,R,24,R,13,R,0,R,192,R,9,R,19,R,33,R,17
118888,R,183,R,0,R,183,R,95,R,52,R,116,R,63,Z,0,R,183,R,1,Z,0,R,117,R,64,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
118912,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,1208,R,0,R,1208,R,129,R,11,R,331,R,27,R,0,R,1208,R,107,R,191,R,438,R,36
118921,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,193,R,0,R,193,R,104,R,54,R,115,R,60,R,0,R,193,R,0,R,0,R,115,R,60
118930,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,440,R,0,R,440,R,34,R,8,R,123,R,28,R,0,R,440,R,30,R,74,R,153,R,35
118958,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,41,R,0,R,41,R,4,R,10,R,23,R,56,Z,0,R,41,Z,0,Z,0,R,23,R,56
118967,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,631,R,0,R,631,Z,0,R,0,R,542,R,86,R,0,R,631,R,2,R,0,R,544,R,86
118976,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,1320,R,0,R,1320,R,44,R,3,R,230,R,17,R,0,R,1320,R,120,R,268,R,350,R,27
118994,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,27,R,0,R,27,R,15,R,56,R,23,R,85,Z,0,R,27,Z,0,Z,0,R,23,R,85
