"UNITID","ARANK","SAOUTLT","non_inst_acad_staff_salary_research_outlay","non_inst_acad_staff_salary_pubservice_outlay","non_inst_acad_staff_salary_other_outlay","admin_profstaff_salary_mgmt_outlay","admin_profstaff_salary_business_outlay","admin_profstaff_salary_compeng_outlay","admin_profstaff_salary_community_outlay","admin_profstaff_salary_technical_outlay","nonadmin_servicestaffsalary_outlay","nonadmin_servicestaffsalary_salaryoutlay","admin_profstaff_salary_ofcadmin_outlay","nonadmin_servicestaffsalary_construction_outlay","nonadmin_servicestaffsalary_production_outlay","HRTOTLT","admin_profstaff_management","admin_profstaff_business","admin_profstaff_comp","admin_profstaff_comunityservice","admin_profstaff_healthcare","admin_profstaff_ofcadmin","non_instn_acad_staff_research","non_instn_acad_staff_pub_service","non_instn_acad_staff_library","instruction_staff","non_admin_service_staff_service","non_admin_service_staff_sales","non_admin_service_staff_resource","non_admin_service_staff_prod","instructors_per_thousand_student","admin_professional_staff","admin_professionalstaff_perthousandstudent","noninstruction_academicstaff","noninstruction_academicstaff_perthousandstudent","nonadmin_trade_servicestaff","nonadmin_tradeservicestaff_perthousandstudent","all_instructors_staff","instructor_salarypermillion","adminprofessionalstaff_salarypermillion","noninstruction_academicstaff_salarypermillion","nonadmin_tradeservicestaff_salarypermillion"
"212878","7","18777733","0","0","4882225","5521554","1888859","2770197","650211","0","3966957","649291","6716952","0","0","2799","62","35","47","11","0","180","0","0","94","291","107","15","0","0","9","335","11","94","3","122","4","842","248111","88753","64509","60995"
"212911","7","13030191","0","0","1666393","7143059","2886670","2034829","2495744","151874","3376718","112460","1566766","1738872","0","631","60","50","37","38","3","39","0","0","31","140","97","3","30","0","111","227","180","31","25","130","103","528","342533","45184","43806","137433"
"212975","7","1767916","0","0","74398","0","0","0","0","0","0","0","57800","0","0","31","0","0","0","0","0","2","0","0","2","27","0","0","0","0","57","2","4","2","4","0","0","31","175602","5741","7390","0"
"212984","7","6151913","0","0","1653007","2627315","800571","355964","660586","47000","855816","117229","1162187","0","0","560","28","17","7","12","1","29","0","0","43","87","28","2","0","0","25","94","27","43","12","30","9","254","273552","53771","73503","43268"
"213002","7","577619","0","0","440390","675713","43695","0","510246","0","57156","0","36434","0","0","59","8","1","0","7","0","1","0","0","7","11","1","0","0","0","12","17","18","7","7","1","1","36",,,,
"213011","7","5232264","0","0","2704564","1760721","399415","356667","932600","51500","1590368","451593","1877758","0","0","691","19","6","7","20","1","59","0","0","62","85","55","7","0","0","16","112","22","62","12","62","12","321","265050","97733","137005","103439"
"213020","7","49755715","1291218","0","1557326","8093610","11446238","834429","3666692","1411269","4272570","0","7902347","2546656","0","1786","70","202","16","46","23","209","18","0","24","606","130","0","66","0",,"566",,"42",,"196",,"1410","444840","83271","25467","60967"
"213181","7","813308","0","0","398155","423801","105870","92440","42000","0","0","0","70200","17160","0","65","6","2","2","1","0","3","0","0","11","21","0","0","1","0",,"14",,"11",,"1",,"47",,,,
"213233","7","1197600","0","0","489865","819151","130549","99549","0","0","288807","0","225480","0","0","70","12","3","2","0","0","6","0","0","12","23","7","0","0","0","50","23","50","12","26","7","15","65","352710","66412","144272","85058"
"213251","7","7316037","0","0","773234","3730692","1011835","556376","1485036","41093","1503399","0","948956","0","474181","476","55","26","12","44","1","30","0","0","20","104","52","0","0","12","61","168","99","20","12","64","38","356","357907","48441","37827","96745"
"213303","7","3701989","0","0","503195","2162175","515016","360149","908143","38000","278906","0","584711","0","0","464","30","14","8","25","1","22","0","0","17","65","13","0","0","0","23","100","35","17","6","13","5","195","277845","46742","37766","20933"
"213321","7","8960000","0","0","1527091","2559357","382436","1019460","1059659","294031","594301","0","1299586","1689494","222557","560","41","5","19","25","7","46","0","0","29","132","20","0","57","8","46","143","50","29","10","85","30","389","365047","64931","62216","102113"
