UNITID,private_nonprofit_total_salary_wage,public_total_salary_wage,privateprofit_total_salary_wage
154749,5803859,NULL,NULL
154837,2184998,NULL,NULL
154855,3201666,NULL,NULL
155007,2570005,NULL,NULL
155070,1856077,NULL,NULL
155089,17239534,NULL,NULL
155177,5754624,NULL,NULL
155335,11307013,NULL,NULL
155414,5681066,NULL,NULL
155496,2298161,NULL,NULL
155511,6644506,NULL,NULL
155520,14987758,NULL,NULL
155627,19023277,NULL,NULL
155812,7651800,NULL,NULL
155900,10504455,NULL,NULL
155937,9104035,NULL,NULL
155973,5075871,NULL,NULL
156189,3965841,NULL,NULL
156213,15218710,NULL,NULL
156222,12306333,NULL,NULL
156286,30947519,NULL,NULL
156295,34088580,NULL,NULL
156356,5352066,NULL,NULL
156365,17552275,NULL,NULL
156408,20556989,NULL,NULL
156417,1468581,NULL,NULL
156541,16262245,NULL,NULL
156727,8440292,NULL,NULL
156745,15696801,NULL,NULL
157030,143888,NULL,NULL
157076,5115397,NULL,NULL
157100,5300733,NULL,NULL
157207,1306627,NULL,NULL
157216,18142580,NULL,NULL
157298,4256454,NULL,NULL
157359,9071323,NULL,NULL
157377,9758103,NULL,NULL
157535,13166617,NULL,NULL
157632,5263066,NULL,NULL
157748,15687683,NULL,NULL
157757,14748283,NULL,NULL
157809,10201956,NULL,NULL
157818,18290820,NULL,NULL
157863,8046167,NULL,NULL
158325,514202,NULL,NULL
158334,206742,NULL,NULL
158477,10277334,NULL,NULL
158802,14643680,NULL,NULL
159568,9549445,NULL,NULL
159656,57648838,NULL,NULL
159948,8221720,NULL,NULL
160029,1654537,NULL,NULL
160065,5306865,NULL,NULL
160074,11561136,NULL,NULL
160409,1458948,NULL,NULL
160524,2066167,NULL,NULL
160755,386066000,NULL,NULL
160904,45608880,NULL,NULL
160959,6300134,NULL,NULL
160977,46686046,NULL,NULL
161004,61669419,NULL,NULL
161022,1340382,NULL,NULL
161086,48018000,NULL,NULL
161165,21424464,NULL,NULL
161208,1090660,NULL,NULL
161457,61347633,NULL,NULL
161509,4567628,NULL,NULL
161518,16985734,NULL,NULL
161563,6129429,NULL,NULL
161572,6101142,NULL,NULL
162061,5470708,NULL,NULL
162210,14475391,NULL,NULL
162654,30032904,NULL,NULL
162760,16872458,NULL,NULL
162928,2083977000,NULL,NULL
163046,81887744,NULL,NULL
163295,35969424,NULL,NULL
163462,23833659,NULL,NULL
163532,3696597,NULL,NULL
163578,19698269,NULL,NULL
163921,13961787,NULL,NULL
163976,11355007,NULL,NULL
164085,4797817,NULL,NULL
164173,38292912,NULL,NULL
164216,25563512,NULL,NULL
164270,25035000,NULL,NULL
164368,11383735,NULL,NULL
164447,20379120,NULL,NULL
164465,65794126,NULL,NULL
164474,3137407,NULL,NULL
164492,10089482,NULL,NULL
164562,29092444,NULL,NULL
164580,75704675,NULL,NULL
164614,938492,NULL,NULL
164632,17289711,NULL,NULL
164720,16098829,NULL,NULL
164739,82864000,NULL,NULL
164748,88957559,NULL,NULL
164872,10182623,NULL,NULL
164915,1064416,NULL,NULL
164924,326961420,NULL,NULL
164933,11678726,NULL,NULL
164988,709760635,NULL,NULL
165015,139887258,NULL,NULL
165060,3297472,NULL,NULL
165167,18466697,NULL,NULL
165264,5845723,NULL,NULL
165334,46557823,NULL,NULL
165495,397468,NULL,NULL
165529,34408722,NULL,NULL
165574,12745422,NULL,NULL
165644,9715483,NULL,NULL
165662,58458569,NULL,NULL
165671,22806538,NULL,NULL
165699,33206795,NULL,NULL
165705,2449172,NULL,NULL
165802,9868537,NULL,NULL
165884,4828917,NULL,NULL
165936,22466171,NULL,NULL
165945,12013641,NULL,NULL
166018,26077334,NULL,NULL
166027,1553096000,NULL,NULL
166045,6151419,NULL,NULL
166054,4737904,NULL,NULL
166124,68136620,NULL,NULL
166391,20299878,NULL,NULL
166407,4337273,NULL,NULL
166452,51546047,NULL,NULL
166489,4195005,NULL,NULL
166601,1492505,NULL,NULL
166656,50337259,NULL,NULL
166683,1128304000,NULL,NULL
166717,11461637,NULL,NULL
166850,32948167,NULL,NULL
166869,18777603,NULL,NULL
166911,5011424,NULL,NULL
166939,61435214,NULL,NULL
166948,14320357,NULL,NULL
166984,11924892,NULL,NULL
167057,21060379,NULL,NULL
167093,12508304,NULL,NULL
167181,2371816,NULL,NULL
167215,13104232,NULL,NULL
167251,6600535,NULL,NULL
167260,11333421,NULL,NULL
167297,2272155,NULL,NULL
167358,385526709,NULL,NULL
167394,10627373,NULL,NULL
167455,6644396,NULL,NULL
167464,1555645,NULL,NULL
167598,18100578,NULL,NULL
167677,1845948,NULL,NULL
167783,56852268,NULL,NULL
167792,8905386,NULL,NULL
167835,92223491,NULL,NULL
167899,39856606,NULL,NULL
167996,39340324,NULL,NULL
168005,100921664,NULL,NULL
168148,363832365,NULL,NULL
168218,94055000,NULL,NULL
168227,39893393,NULL,NULL
168254,48732570,NULL,NULL
168281,32692542,NULL,NULL
168290,18343273,NULL,NULL
168342,86126484,NULL,NULL
168421,93353000,NULL,NULL
168528,14635811,NULL,NULL
168546,20388924,NULL,NULL
168591,16361009,NULL,NULL
168740,39141929,NULL,NULL
168786,14731218,NULL,NULL
168847,101049362,NULL,NULL
169080,51755929,NULL,NULL
169099,3845330,NULL,NULL
169220,1973297,NULL,NULL
169327,3385101,NULL,NULL
169363,4283845,NULL,NULL
169424,2600071,NULL,NULL
169442,17075861,NULL,NULL
169479,48337809,NULL,NULL
169628,13649374,NULL,NULL
169716,69757842,NULL,NULL
169983,24409779,NULL,NULL
170000,2698170,NULL,NULL
170037,15929998,NULL,NULL
170091,1650340,NULL,NULL
170301,43002196,NULL,NULL
170532,22418646,NULL,NULL
170675,26624587,NULL,NULL
170806,25279713,NULL,NULL
170842,13679522,NULL,NULL
170967,6504153,NULL,NULL
171012,1174553,NULL,NULL
171492,28180814,NULL,NULL
171599,8279912,NULL,NULL
171881,2689017,NULL,NULL
172033,3841379,NULL,NULL
172264,13975500,NULL,NULL
172334,20622788,NULL,NULL
172440,6098161,NULL,NULL
172477,34295144,NULL,NULL
172608,11350793,NULL,NULL
172705,3223120,NULL,NULL
172927,1197545,NULL,NULL
173045,35137877,NULL,NULL
173142,6762716,NULL,NULL
173160,42597191,NULL,NULL
173179,4512751,NULL,NULL
173258,52679450,NULL,NULL
173300,37181387,NULL,NULL
173328,18099712,NULL,NULL
173452,6592080,NULL,NULL
173647,37019686,NULL,NULL
173665,42636232,NULL,NULL
173683,616306,NULL,NULL
173896,10981953,NULL,NULL
173902,46496000,NULL,NULL
173957,5240313,NULL,NULL
173966,10239904,NULL,NULL
174127,10052844,NULL,NULL
174206,1023959,NULL,NULL
