UNITID,carnegie_basic,carnegie_ug_program,carnegie_grad_program,carnegie_ug_profile,carnegie_enroll_profile,carnegie_size_setting,carnegie_classification2000
139366,18,13,5,6,4,12,21
139384,2,1,-1,2,1,3,-3
139393,22,9,1,12,3,11,32
139463,23,2,-1,6,2,12,40
139506,-3,-3,-3,-3,-3,-3,-3
139579,18,17,11,5,4,12,40
139621,1,1,-1,3,1,3,40
139630,22,9,-1,9,2,7,32
139658,15,8,14,12,5,17,15
139700,2,1,-1,3,1,3,40
139719,22,13,11,9,3,14,21
139746,-3,-3,-3,-3,-3,-3,-3
139755,15,14,15,12,5,17,15
139764,20,13,7,8,3,10,21
139861,18,10,6,13,4,13,21
139904,8,1,-1,3,1,2,40
139931,17,13,12,11,3,16,21
139940,15,11,15,8,4,15,15
139959,15,11,14,13,4,16,15
139968,12,2,-1,6,2,13,40
139986,5,1,-1,2,1,3,40
139995,9,1,-1,4,1,1,40
140003,10,1,-1,2,1,1,-3
140012,4,1,-1,2,1,3,40
140146,24,-2,-2,-2,7,-2,51
140164,18,13,4,8,3,15,21
140234,22,10,9,11,4,8,32
140243,2,1,-1,1,1,3,-3
140252,21,6,11,6,6,9,53
140331,4,1,-1,2,1,4,40
140340,22,12,-1,6,2,6,40
140447,18,13,13,12,5,14,21
140553,21,6,-1,10,2,11,31
140562,25,-2,-2,-2,7,-2,52
140599,2,1,-1,2,1,2,-3
140678,2,1,-1,3,1,3,-3
140696,21,6,1,12,3,8,31
140720,22,9,-1,9,2,8,31
140818,18,13,9,10,5,10,22
140827,-3,-3,-3,-3,-3,-3,-3
140872,22,13,2,9,3,10,33
140942,2,1,-1,2,1,3,40
140951,30,-2,-2,-2,4,-2,56
140960,21,10,8,9,3,13,22
140988,21,9,-1,11,2,11,32
141006,2,1,-1,3,1,2,-3
141015,-3,-3,-3,-3,-3,-3,-3
141060,21,3,-1,10,2,11,31
141097,19,13,5,8,3,12,54
141158,1,1,-1,2,1,2,40
141167,22,16,11,6,4,6,32
141185,22,15,-1,9,2,8,32
141237,23,2,-1,9,2,8,40
141255,2,1,-1,2,1,3,-3
141264,18,10,12,11,4,16,21
141325,21,7,10,7,3,7,31
